Length of dataset:  36837
2021-06-12 14:12:11.029474
Cuda enabled:  True
{'root_dir': 'data/test/', 'save_dir': 'data/test/results_3_prop/0/', 'disable_cuda': False, 'workers': 0, 'epochs': 2, 'start_epoch': 0, 'batch_size': 10, 'lr': 0.01, 'lr_milestones': [200, 400, 600, 800], 'momentum': 0.9, 'weight_decay': 0, 'print_freq': 10, 'resume': '', 'train_size': 22102, 'val_size': 7367, 'test_size': 7368, 'optimizer': 'Adam', 'atom_fea_len': 64, 'h_fea_len': 32, 'n_conv': 1, 'n_hp': 1, 'scheduler': 'MultiStepLR', 'metric': 'rmse', 'seed': 887, 'weights': None, 'dropout': 0, 'cuda': True}
Loading datasets...
Predicting  3  properties!!
Epoch: [0][1280/2211]	Time 0.692 (0.961)	Data 0.676 (0.948)	Loss 0.3606 (0.3110)	ERR 0.556 (0.510)
Epoch: [0][1290/2211]	Time 0.724 (0.960)	Data 0.709 (0.946)	Loss 0.0824 (0.3101)	ERR 0.273 (0.509)
Epoch: [0][1300/2211]	Time 0.965 (0.960)	Data 0.952 (0.946)	Loss 0.1236 (0.3098)	ERR 0.298 (0.509)
Epoch: [0][1310/2211]	Time 0.788 (0.959)	Data 0.776 (0.945)	Loss 0.2271 (0.3093)	ERR 0.451 (0.508)
Epoch: [0][1320/2211]	Time 0.812 (0.958)	Data 0.799 (0.945)	Loss 0.1734 (0.3085)	ERR 0.388 (0.507)
Epoch: [0][1330/2211]	Time 0.742 (0.957)	Data 0.730 (0.943)	Loss 0.1984 (0.3082)	ERR 0.390 (0.507)
Epoch: [0][1340/2211]	Time 0.683 (0.956)	Data 0.671 (0.943)	Loss 0.1428 (0.3074)	ERR 0.378 (0.506)
Epoch: [0][1350/2211]	Time 0.804 (0.955)	Data 0.792 (0.941)	Loss 0.3527 (0.3069)	ERR 0.546 (0.506)
Epoch: [0][1360/2211]	Time 1.302 (0.955)	Data 1.289 (0.941)	Loss 0.2483 (0.3068)	ERR 0.489 (0.506)
Epoch: [0][1370/2211]	Time 0.482 (0.954)	Data 0.469 (0.940)	Loss 0.4476 (0.3068)	ERR 0.606 (0.506)
Epoch: [0][1380/2211]	Time 0.958 (0.954)	Data 0.945 (0.940)	Loss 0.2605 (0.3062)	ERR 0.451 (0.505)
Epoch: [0][1390/2211]	Time 0.674 (0.953)	Data 0.659 (0.939)	Loss 0.2420 (0.3053)	ERR 0.433 (0.504)
Epoch: [0][1400/2211]	Time 0.835 (0.952)	Data 0.823 (0.938)	Loss 0.1522 (0.3045)	ERR 0.390 (0.504)
Epoch: [0][1410/2211]	Time 0.999 (0.951)	Data 0.987 (0.938)	Loss 0.4791 (0.3039)	ERR 0.583 (0.503)
Epoch: [0][1420/2211]	Time 0.491 (0.951)	Data 0.476 (0.937)	Loss 0.2115 (0.3031)	ERR 0.447 (0.502)
Epoch: [0][1430/2211]	Time 0.774 (0.949)	Data 0.763 (0.936)	Loss 0.1333 (0.3023)	ERR 0.347 (0.501)
Epoch: [0][1440/2211]	Time 0.845 (0.949)	Data 0.833 (0.935)	Loss 0.1804 (0.3020)	ERR 0.362 (0.501)
Epoch: [0][1450/2211]	Time 0.828 (0.948)	Data 0.816 (0.934)	Loss 0.1800 (0.3018)	ERR 0.385 (0.501)
Epoch: [0][1460/2211]	Time 0.798 (0.947)	Data 0.785 (0.934)	Loss 0.2906 (0.3011)	ERR 0.485 (0.500)
Epoch: [0][1470/2211]	Time 0.816 (0.946)	Data 0.804 (0.933)	Loss 0.1451 (0.3006)	ERR 0.351 (0.500)
Epoch: [0][1480/2211]	Time 1.080 (0.945)	Data 1.066 (0.931)	Loss 0.1826 (0.3000)	ERR 0.410 (0.499)
Epoch: [0][1490/2211]	Time 0.531 (0.944)	Data 0.519 (0.931)	Loss 0.4084 (0.2992)	ERR 0.550 (0.498)
Epoch: [0][1500/2211]	Time 0.477 (0.943)	Data 0.465 (0.929)	Loss 0.1887 (0.2988)	ERR 0.385 (0.498)
Epoch: [0][1510/2211]	Time 0.981 (0.943)	Data 0.968 (0.929)	Loss 0.1493 (0.2982)	ERR 0.365 (0.497)
Epoch: [0][1520/2211]	Time 0.630 (0.942)	Data 0.615 (0.929)	Loss 0.1729 (0.2975)	ERR 0.385 (0.496)
Epoch: [0][1530/2211]	Time 0.680 (0.942)	Data 0.663 (0.928)	Loss 0.2584 (0.2970)	ERR 0.448 (0.496)
