"","mpid","HMAX","LMAX","IPRmax","HMIN","LMIN","IPRmin","HMEAN","LMEAN","IPRmean","SumMAX","SumMEAN"
"165","mp-700",0.634967796,0.792581879,0.792581879,0,0,0,0.343405951,0.291154917666667,0.343405951,1.187831936,0.634560868666667
"166","mp-7020",0.962052252,0.98174747,0.98174747,0,0,0,0.60746626375,0.26221773425,0.60746626375,1.536636373,0.869683998
"167","mp-7041",0.917845172,0.827138533,0.917845172,0,0,0,0.43741355,0.2877984665,0.43741355,1.039011292,0.7252120165
"169","mp-717",0.977612283,0.952641391,0.977612283,0,0,0,0.511027324,0.448739887666667,0.511027324,1.50811108,0.959767211666667
"170","mp-7223",0.266496491,0.770234667,0.770234667,0,0,0,0.0896777095,0.37600567425,0.37600567425,0.84524709,0.46568338375
"171","mp-7277",0.938314276,0.984505325,0.984505325,0,0,0,0.461249169,0.29784114875,0.461249169,1.13106049,0.75909031775
"172","mp-7387",0.97527227,0.946740539,0.97527227,0,0,0,0.536659059,0.5566487625,0.5566487625,1.617779877,1.0933078215
"173","mp-753539",0.949609985,0.969167939,0.969167939,0,0,0,0.43542612425,0.6207530545,0.6207530545,1.516587845,1.05617917875
"174","mp-754153",0.995930707,0.802041381,0.995930707,0,0,0,0.5895934028,0.2589545992,0.5895934028,1.658654962,0.848548002
"175","mp-754496",0.825270712,0.892507422,0.892507422,0,0,0,0.5672100855,0.52013596075,0.5672100855,1.599337021,1.08734604625
"176","mp-755893",0.754082281,0.936562049,0.936562049,0,0,0,0.465424902,0.51204042,0.51204042,1.578754474,0.977465322
"177","mp-7566",0.96715249,0.860766513,0.96715249,0,0,0,0.616600232,0.37734279675,0.616600232,1.442592515,0.99394302875
"178","mp-760762",0.939581214,0.967888141,0.967888141,0,0,0,0.608785303,0.69904221275,0.69904221275,1.827383647,1.30782751575
"179","mp-7638",0.973114297,0.259081637,0.973114297,0,0,0,0.3193418955,0.12252177225,0.3193418955,1.201927859,0.44186366775
"180","mp-7643",0.916248038,0.678361478,0.916248038,0,0,0,0.5000603735,0.18976021775,0.5000603735,0.996388431,0.68982059125
"181","mp-7885",0.824530914,0.853020246,0.853020246,0,0,0,0.46174936225,0.3289110545,0.46174936225,1.302078027,0.79066041675
"182","mp-7907",0.962894755,0.221121156,0.962894755,0,0,0,0.56754550025,0.0718465745,0.56754550025,0.996910427,0.63939207475
"183","mp-7909",0.945016324,0.243020064,0.945016324,0,0,0,0.48047093425,0.074109033,0.48047093425,0.970271315,0.55457996725
"184","mp-8127",0.953087846,0.988059134,0.988059134,0,0,0,0.5350776808,0.5071934012,0.5350776808,1.94114698,1.042271082
"185","mp-8190",0.954642745,0.988729435,0.988729435,0,0,0,0.5678704095,0.38059736575,0.5678704095,1.359920804,0.94846777525
"186","mp-8192",0.966660841,0.919569127,0.966660841,0,0,0,0.62415767825,0.654862411,0.654862411,1.886229968,1.27902008925
"187","mp-8217",0.973074313,0.983359033,0.983359033,0,0,0,0.66957849325,0.354693583,0.66957849325,1.757921619,1.02427207625
"188","mp-8300",0.349342065,0.929135724,0.929135724,0,0,0,0.22875932475,0.45813629,0.45813629,1.278477789,0.68689561475
"189","mp-8377",0.957765618,0.923357949,0.957765618,0,0,0,0.415255334,0.413404071666667,0.415255334,1.274619884,0.828659405666667
"190","mp-8450",0.980079672,0.992616058,0.992616058,0,0,0,0.6386715244,0.2811509676,0.6386715244,1.421785401,0.919822492
"191","mp-8459",0.988272467,0.996273792,0.996273792,0,0,0,0.6087593225,0.36611444875,0.6087593225,1.53214822,0.97487377125
"192","mp-8603",0.954780459,0.814372762,0.954780459,0,0,0,0.5156859925,0.228915898,0.5156859925,1.113602028,0.7446018905
"194","mp-862871",0.68872826,0.792440102,0.792440102,0,0,0,0.267152033666667,0.307994886333333,0.307994886333333,0.905167943,0.57514692
"195","mp-867168",0.075554619,0.433821893,0.433821893,-0.093389974,0,-0.093389974,0.0587261985,0.177826168,0.177826168,0.499782094,0.2365523665
"196","mp-8673",0.989532299,0.968557247,0.989532299,0,0,0,0.6175237116,0.4339200334,0.6175237116,1.933471871,1.051443745
"197","mp-867336",0.928796372,0.65165091,0.928796372,0,0,0,0.4887331446,0.1524178868,0.4887331446,0.991032985,0.6411510314
"198","mp-8702",0.982076261,0.941665343,0.982076261,0,0,0,0.6775216692,0.2380263584,0.6775216692,1.406838494,0.9155480276
"199","mp-8755",0.903697138,0.972405845,0.972405845,0,0,0,0.59297409375,0.261642813,0.59297409375,1.663738848,0.85461690675
"200","mp-8789",0.305225775,0.91090805,0.91090805,0,0,0,0.183242795,0.44932783725,0.44932783725,1.110519439,0.63257063225
"201","mp-886",0.95386904,0.22542453,0.95386904,0,0,0,0.602103470666667,0.112089473666667,0.602103470666667,1.077865902,0.714192944333333
"202","mp-8946",0.940316527,0.988174282,0.988174282,0,0,0,0.54477017225,0.27350829325,0.54477017225,1.312799295,0.8182784655
"203","mp-8965",0.915721046,0.902293036,0.915721046,0,0,0,0.5607741635,0.2763348975,0.5607741635,1.443785084,0.837109061
"204","mp-9008",0.909176504,0.57393284,0.909176504,0,0,0,0.267113078,0.17743102375,0.267113078,1.483109344,0.44454410175
"205","mp-9197",0.990234676,0.976067241,0.990234676,0,0,0,0.61617106525,0.38494308875,0.61617106525,1.494239712,1.001114154
"206","mp-9203",0.974685727,0.49973325,0.974685727,0,0,0,0.5786719738,0.2219183342,0.5786719738,1.09379288,0.800590308
"208","mp-9562",0.809810723,0.335599527,0.809810723,0,-0.011831004,-0.011831004,0.2582045065,0.11389963575,0.2582045065,0.821641727,0.37210414225
"209","mp-9576",0.93710807,0.959240319,0.959240319,0,0,0,0.502565215,0.3062169675,0.502565215,1.187285564,0.8087821825
"210","mp-9657",0.93265125,0.91215079,0.93265125,-0.046946852,0,-0.046946852,0.4386810725,0.28981272675,0.4386810725,1.164908074,0.72849379925
"211","mp-966582",0.958631627,0.988633373,0.988633373,0,0,0,0.56296785175,0.486383512,0.56296785175,1.787526144,1.04935136375
"212","mp-9774",0.489150846,0.935749055,0.935749055,0,0,0,0.2396321135,0.4637748365,0.4637748365,1.350138407,0.70340695
"213","mp-9783",0.979201737,0.977605564,0.979201737,0,0,0,0.51876690675,0.329635239,0.51876690675,1.253774949,0.84840214575
"214","mp-985829",0.644439698,0.569320934,0.644439698,0,0,0,0.419367561666667,0.33302738,0.419367561666667,1.213760632,0.752394941666667
"215","mp-989196",0.46791408,0.530282057,0.530282057,0,0,0,0.2386837585,0.29779328025,0.29779328025,0.806378125,0.53647703875
"217","mp-998567",0.737470031,0.899359331,0.899359331,0,0,0,0.501499958,0.5159550675,0.5159550675,1.636829362,1.0174550255
"218","mp-998591",0.369318399,0.793334201,0.793334201,0,0,0,0.151103947,0.22478599425,0.22478599425,0.939495792,0.37588994125
"219","mp-998612",0.943039703,0.943973128,0.943973128,0,0,0,0.6095383655,0.4950847295,0.6095383655,1.61177629,1.104623095
"220","mp-998759",0.978429641,0.979180889,0.979180889,0,0,0,0.592432178,0.3941625855,0.592432178,1.476045668,0.9865947635
"221","mvc-7701",0.978320001,0.952744539,0.978320001,0,0,0,0.6354927445,0.346486203,0.6354927445,1.93106454,0.9819789475
